##Taken from U.S. Department of Energy's 2022 edition of its Land-Based Wind Market Report ,,,,,,,,
Operation_Date_OM,O_M_Cost_2021_kW,,Operation_Date_C,Capex_Cost_2021_kW,,,,
2020,7.929837043,,1998,1646.04,,,,
2020,10.3399331,,1999,1934.73,,,,
2020,11.15404921,,2000,1948.39,,,,
2020,11.35555998,,2001,1530,,,,
2019,12.23063878,,2002,1788.61,,,,
2020,12.50468565,,2003,1624.45,,,,
2019,13.97258125,,2004,1497.26,,,,s
2012,15.42681962,,2005,1758.13,,,,
2019,15.50243745,,2006,1962.31,,,,
2009,15.53781639,,2007,2158.92,,,,
2019,15.66052738,,2008,2414.14,,,,
2012,15.94023401,,2009,2643.05,,,,
2009,16.38397739,,2010,2639.53,,,,
2019,16.44904369,,2011,2529.96,,,,
2020,17.22137089,,2012,2284.72,,,,
2010,18.16368927,,2013,2149.69,,,,
2018,18.65883456,,2014,1983.56,,,,
2019,19.04896206,,2015,1806.1,,,,
2018,19.26725621,,2016,1847.52,,,,
2018,20.15551873,,2017,1763.18,,,,
2008,20.31810681,,2018,1552.55,,,,
2008,20.35794055,,2019,1488.93,,,,
2007,20.36916528,,2020,1523.06,,,,
2008,21.10229806,,2021,1501.08,,,,
2009,21.34761033,,,,,,,
2019,21.50499072,,,,,,,
2020,21.64422265,,,,,,,
2020,21.67504599,,,,,,,
2008,21.78922287,,,,,,,
2012,22.09001386,,,,,,,
2020,22.3566044,,,,,,,
2012,22.39326029,,,,,,,
2010,22.45604857,,,,,,,
2019,22.64799697,,,,,,,
2008,22.68218288,,,,,,,
2007,23.03548373,,,,,,,
2010,23.17673923,,,,,,,
2016,23.34867678,,,,,,,
2019,23.72523875,,,,,,,
2011,23.80691694,,,,,,,
2008,24.40137303,,,,,,,
2007,24.54514924,,,,,,,
2020,24.55170642,,,,,,,
2020,24.98659048,,,,,,,
2008,25.14972432,,,,,,,
2018,25.17375102,,,,,,,
2008,25.42334624,,,,,,,
2020,25.63539802,,,,,,,
2015,25.93103046,,,,,,,
2017,26.02495526,,,,,,,
2008,26.18961322,,,,,,,
2016,26.2754251,,,,,,,
2018,26.39245892,,,,,,,
2012,26.39945665,,,,,,,
2018,26.43593748,,,,,,,
2019,26.61474294,,,,,,,
2020,26.66738667,,,,,,,
2015,26.70269523,,,,,,,
2016,27.08312622,,,,,,,
2005,27.21850078,,,,,,,
2011,27.36312157,,,,,,,
2004,27.48146348,,,,,,,
2017,27.54190533,,,,,,,
2006,27.54570383,,,,,,,
2016,27.67587387,,,,,,,
2006,27.69256007,,,,,,,
2014,28.04239986,,,,,,,
2007,28.42669277,,,,,,,
2011,28.67664766,,,,,,,
2015,28.90478344,,,,,,,
2014,29.10763737,,,,,,,
2014,29.47741219,,,,,,,
2008,29.68263612,,,,,,,
2020,29.73834667,,,,,,,
2009,29.74787957,,,,,,,
2009,29.83507813,,,,,,,
2012,29.98629177,,,,,,,
2016,30.02857422,,,,,,,
2009,30.22191379,,,,,,,
2020,31.09765385,,,,,,,
2020,31.32490909,,,,,,,
2008,31.80304643,,,,,,,
2006,31.88055519,,,,,,,
2009,31.99824478,,,,,,,
2008,32.37134258,,,,,,,
2012,32.71592054,,,,,,,
2015,33.21369963,,,,,,,
2010,33.85598723,,,,,,,
2014,35.09687174,,,,,,,
2011,35.99321685,,,,,,,
2017,36.67477487,,,,,,,
2014,36.790739,,,,,,,
2020,38.35927771,,,,,,,
2014,39.3345275,,,,,,,
2012,40.33834824,,,,,,,
2012,40.71613419,,,,,,,
2014,42.60283948,,,,,,,
2005,43.08229043,,,,,,,
2009,43.38202979,,,,,,,
2015,44.25954896,,,,,,,
2008,44.26051706,,,,,,,
2010,44.547849,,,,,,,
2006,45.62392631,,,,,,,
2012,45.72713739,,,,,,,
2001,48.19957943,,,,,,,
2009,50.77064447,,,,,,,
2008,51.66603715,,,,,,,
2014,53.32512576,,,,,,,
2012,57.68913219,,,,,,,
2012,58.81226087,,,,,,,
