,state,fuel_price_per_mmbtu
0,AL,6.07682
1,AK,5.9109
2,AZ,9.06338
3,AR,6.424215
4,CA,10.76406
5,CO,7.79824
6,CT,9.48855
7,DE,7.639233333333334
8,FL,6.07682
9,GA,6.4631025
10,HI,
11,ID,9.83076
12,IL,7.09308
13,IN,6.83383
14,IA,6.31533
15,KS,7.44566
16,KY,6.845928333333333
17,LA,6.5979125
18,ME,
19,MD,8.90783
20,MA,12.73436
21,MI,7.10345
22,MN,8.59673
23,MS,6.293941875
24,MO,6.951850476190477
25,MT,4.40725
26,NE,8.46192
27,NV,8.51377
28,NH,12.73436
29,NJ,7.47677
30,NM,6.91679
31,NY,7.85009
32,NC,6.940770624999999
33,ND,14.86021
34,OH,6.60569
35,OK,7.051394246031745
36,OR,9.702863333333333
37,PA,6.5331
38,RI,11.111455
39,SC,7.62195
40,SD,7.6738
41,TN,6.07682
42,TX,6.77161
43,UT,8.86635
44,VT,11.10627
45,VA,7.60121
46,WA,9.766811666666666
47,WV,6.86494
48,WI,6.19089
49,WY,8.8145
50,avg,7.52
