,Plant Name,Planned Retirement Year,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red
946,,,Nelson Energy Center,IL,41.774444,-89.607222,2015,Gas_CC,626,3968921000.0,26831806.827,1594575.796,Wind,146.0648156769207,1594575.796
1086,,,Washington Parish Energy Center,LA,30.791389,-89.909166,2020,Gas_SC,1053,8645000.0,66571.89,3956.169,Wind,-16489.20105423912,3956.169
1163,,,Warren County,VA,38.971667,-78.177222,2014,Gas_CC,1470,9347369000.0,63064073.155,3747810.748,Wind,242.6561152127645,3747810.748
1181,,,CPV Towantic Energy Center,CT,41.481243,-73.123108,2018,Gas_CC,840,5452943000.0,35875057.064,2132176.236,Wind,163.79366112617367,2132176.236
1222,,,Russell City Energy Center,CA,37.63466,-122.13381,2013,Gas_CC,655,1130920000.0,7965583.245999999,473379.7,Solar,196.7153580521879,473379.7
1243,,,Sandy Creek Energy Station,TX,31.474378,-96.957149,2013,Coal,1008,4884613000.0,47161984.870000005,4943073.232,Gas,5.113559809163016,3276276.251505712
1256,,,CPV St Charles Energy Center,MD,38.5686,-76.8919,2017,Gas_CC,774,3236777000.0,26727342.417,1588380.536,Gas,65.56102467611879,483881.5449574427
1259,,,CPV Valley Energy Center,NY,41.4122,-74.4378,2018,Gas_CC,770,4753565000.0,32491852.21,1930961.797,Wind,182.88335928634447,1930961.797
1261,,,West Deptford Energy Station,NJ,39.8414,-75.2214,2014,Gas_CC,754,2293408000.0,16421356.093,975894.662,Wind,118.76939172162179,975894.662
1268,,,Ratcliffe,MS,32.654722,-88.762222,2014,Gas_CC,839,4609735000.0,31651622.68,1881009.101,Wind,197.01782379268846,1881009.101
1272,,,Cricket Valley Energy,NY,41.676111,-73.581111,2020,Gas_CC,1311,4040671000.0,28566967.668,1697691.544,Wind,132.6889537230576,1697691.544
1274,,,Marsh Landing Generating Station,CA,38.016944,-121.765,2013,Gas_SC,828,298123000.0,3034397.617,180329.804,Wind,-221.68487998504668,180329.804
1275,,,Garrison Energy Center LLC,DE,39.187195,-75.499396,2015,Gas_CC,361,1620585000.0,11074302.338,658512.961,Wind,134.79241817197897,658512.961
1276,,,"Sentinel Energy Center, LLC",CA,33.934167,-116.571388,2013,Gas_SC,800,730710000.0,5964026.111,354436.256,Wind,-22.90093821237404,354436.256
1278,,,Walnut Creek Energy Park,CA,34.008709,-117.944864,2013,Gas_SC,500,505896000.0,3995182.757,237430.641,Solar,93.51455762514286,237430.641
1279,,,Pio Pico Energy Center,CA,32.573889,-116.917777,2016,Gas_SC,393,129273000.0,1006895.174,59839.065,Solar,-213.6708769381098,59839.065
1281,,,Cheyenne Prairie Generating Station,WY,41.123611,-104.72,2014,Gas_SC,220,284687000.0,2791108.734,165867.066,Wind,10.807397371868468,165867.066
1282,,,St Joseph Energy Center,IN,41.698992,-86.479699,2018,Gas_CC,2186,4844160000.0,31951260.599,1898816.536,Wind,95.98379476412137,1898816.536
1283,,,Woodbridge Energy Center,NJ,40.515,-74.318889,2015,Gas_CC,771,4570264000.0,27287383.501,1621651.051,Wind,184.61708050996143,1621651.051
1286,,,Pioneer Generating Station,ND,48.2325,-103.95278,2013,Gas_SC,288,193029000.0,1909698.654,113490.988,Wind,-84.24143666511463,113490.988
1287,,,Lonesome Creek Station,ND,47.796667,-103.57861,2013,Gas_SC,300,821494000.0,7924271.921,470934.657,Gas,27.802397957439275,190612.8139606078
1289,,,Panda Temple Power Station,TX,31.055833,-97.317222,2014,Gas_CC,1606,5626809000.0,42995459.605,2555158.964,Wind,98.45224330033214,2555158.964
1290,,,Panda Sherman Power Station,TX,33.582573,-96.617893,2014,Gas_CC,803,2800004000.0,19063492.143,1132914.982,Wind,94.72534928947184,1132914.982
1292,,,Newark Energy Center,NJ,40.707222,-74.125833,2015,Gas_CC,735,4369657000.0,28664342.957,1703477.068,Wind,198.82186439382437,1703477.068
1293,,,Delano Energy Center,CA,35.790864,-119.294469,2013,Gas_SC,60,7433000.0,73875.325,4389.869,Solar,-822.2871263971282,4389.869
1295,,,Clayville,NJ,39.424444,-75.02,2015,Gas_SC,73,59621000.0,524669.779,31180.227,Wind,-32.913534574109775,31180.227
1296,,,Marshalltown Generating Station,IA,42.043333,-92.872778,2017,Gas_CC,706,2737902000.0,19623687.102,1166207.249,Wind,105.71320152554911,1166207.249
1297,,,Brunswick County Power Station,VA,36.765,-77.713889,2016,Gas_CC,1470,10165534000.0,69586192.378,4135381.48,Wind,168.2523300381331,4135381.48
1298,,,La Luz Energy Center,NM,34.616111,-106.815,2015,Gas_SC,84,13868000.0,108998.45,6478.316,Solar,-653.9206514458293,6478.316
1299,,,Charles D. Lamb Energy Center,OK,36.813889,-97.125278,2015,Gas_SC,122,118247000.0,1401776.227,83307.952,Wind,-20.938865955122502,83307.952
1300,,,W.A. Parish Carbon Capture Plant,TX,29.475278,-95.634167,2013,Gas_SC,102,154859000.0,1955909.002,116237.519,Gas,0.6207330934785579,63394.332937488
1301,,,Hamilton Liberty,PA,41.7675,-76.39,2016,Gas_CC,870,5161125000.0,34521395.95,2051558.325,Wind,203.89628077093425,2051558.325
1302,,,Hamilton Patriot Generation Plant,PA,41.180833,-76.839167,2016,Gas_CC,870,6295065000.0,41129444.085,2444269.373,Wind,254.86871072046756,2444269.373
1303,,,Lansing BWL REO Town Plant,MI,42.719722,-84.551667,2013,Gas_CC,98,581255000.0,5085480.1,302219.761,Gas,13.205646308823656,103875.67951448471
1304,,,Ector County Energy Center,TX,32.069167,-102.585556,2015,Gas_SC,358,700927000.0,7569973.618,449879.925,Gas,26.64914929662488,210699.66503940133
1305,,,LEPA Unit No. 1,LA,29.691111,-91.192778,2016,Gas_CC,74,210844000.0,1635772.625,97208.075,Wind,141.7842086562672,97208.075
1306,,,Carty Generating Station,OR,45.698611,-119.813056,2016,Gas_CC,500,3043849000.0,21777896.346,1294229.099,Wind,171.4638892911238,1294229.099
1307,,,Montana Power Station,TX,31.823889,-106.211944,2015,Gas_SC,524,892520000.0,8210589.978,487946.605,Wind,96.66453011469454,487946.605
1308,,,Stonewall,VA,39.058056,-77.545,2017,Gas_CC,812,5067700000.0,33868405.689,2012750.541,Wind,194.11458980488632,2012750.541
1310,,,Holland Energy Park,MI,42.7925,-86.092222,2017,Gas_CC,149,830062000.0,5984614.214,355654.299,Wind,120.68320141746057,355654.299
1311,,,Wildcat Point Generation Facility,MD,39.719364,-76.161625,2018,Gas_CC,1113,3110725000.0,20770286.164,1234346.086,Wind,142.09368928797088,1234346.086
1312,,,Kings Mountain Energy Center,NC,35.2025,-81.363056,2018,Gas_CC,543,2929189000.0,19784814.126,1175782.836,Wind,197.88134599656505,1175782.836
1313,,,Middletown Energy Center,OH,39.465,-84.347778,2018,Gas_CC,543,3469907000.0,23119567.033,1373967.573,Wind,186.84774591180252,1373967.573
1314,,,Oregon Clean Energy Center,OH,41.667928,-83.443664,2017,Gas_CC,1061,5813670000.0,38070986.59,2262502.392,Wind,147.0442172906529,2262502.392
1315,,,Carroll County Energy,OH,40.60441,-81.05918,2017,Gas_CC,831,5412935000.0,38752843.805,2303006.523,Wind,147.89821841498522,2303006.523
1316,,,Wolf Hollow II,TX,32.337679,-97.734612,2017,Gas_CC,1231,5477361000.0,36496565.495,2168936.036,Wind,131.33905256589497,2168936.036
1317,,,Exelon West Medway II LLC,MA,42.137218,-71.4447,2019,Gas_SC,200,208911000.0,1940048.243,115862.331,Wind,9.204633509895245,115862.331
1318,,,Moxie Freedom Generation Plant,PA,41.113056,-76.158056,2018,Gas_CC,1058,5894096000.0,39173822.849,2328050.966,Wind,207.7802562078277,2328050.966
1319,,,Greensville County Power Station,VA,36.718236,-77.649559,2018,Gas_CC,1770,10939560000.0,70502052.51,4189822.459,Wind,176.74701606914203,4189822.459
1320,,,Alpine Power Plant,MI,45.063748,-84.825348,2016,Gas_SC,452,812703000.0,8352632.0,492823.2,Gas,17.196614223644023,215501.146760849
1321,,,Colorado Bend II,TX,29.289415,-96.065399,2017,Gas_CC,1228,5779141000.0,37756059.193,2243788.309,Wind,150.93316189966737,2243788.309
1322,,,Bacliff,TX,29.49233,-94.98483,2018,Gas_SC,426,129998000.0,1566138.4,92408.2,Wind,-198.3932634973979,92408.2
1323,,,Keys Energy Center,MD,38.695519,-76.827785,2018,Gas_CC,829,5014709000.0,36145023.56,2148051.95,Wind,148.47844642422618,2148051.95
1325,,,Okeechobee Clean Energy Center,FL,27.634167,-80.791111,2019,Gas_CC,1721,9720678000.0,57924032.765,3442747.613,Wind,243.37093710536922,3442747.613
1326,,,Lackawanna Energy Center,PA,41.471389,-75.544167,2018,Gas_CC,1665,9442190000.0,61894648.057,3678313.685,Wind,150.37012941068545,3678313.685
1327,,,Hummel Station LLC,PA,40.839014,-76.825517,2018,Gas_CC,1192,6364545000.0,43394135.915,2578849.0870000003,Wind,174.0730707751709,2578849.0870000003
1328,,,"Clean Energy Future-Lordstown, LLC",OH,41.14889,-80.85162,2018,Gas_CC,962,6311142000.0,41547270.53,2469104.682,Wind,169.31463067727162,2469104.682
1329,,,Port Comfort Power LLC,TX,28.64807,-96.54621,2017,Gas_SC,120,50094000.0,444437.984,26412.332,Wind,-172.78605916491034,26412.332
1330,,,Chamon Power LLC,TX,29.883214,-95.111345,2017,Gas_SC,120,44814000.0,403419.687,23972.504,Wind,-186.17608831111284,23972.504
1331,,,Tenaska Westmoreland Generating Station,PA,40.175249,-79.696665,2018,Gas_CC,1134,6418323000.0,44070327.49,2619041.5360000003,Wind,187.84783457288273,2619041.5360000003
1332,,,Friendswood Energy,TX,29.647267,-95.451516,2018,Gas_SC,121,26054000.0,303172.882,18016.349,Wind,-321.80349135763686,18016.349
1333,,,CPV Fairview Energy Center,PA,40.412,-78.855,2019,Gas_CC,1197,7395314000.0,46585752.289,2769719.794,Wind,190.62335184129876,2769719.794
1334,,,Stanton Energy Reliability Center Hybrid,CA,33.806801,-117.985758,2020,Gas_SC,160,49860000.0,474567.421,28204.887,Solar,-156.3561854887319,28204.887
1335,,,Salem Harbor Station NGCC,MA,42.525486,-70.878239,2018,Gas_CC,796,865595000.0,6190364.34,367883.891,Wind,2.194547044120992,367883.891
1336,,,St. Charles Power Station (LA),LA,30.01,-90.460833,2019,Gas_CC,1000,5995705000.0,41588645.251,2471553.306,Wind,193.98875619078655,2471553.306
1337,,,Lake Charles Power,LA,30.272631,-93.299056,2020,Gas_CC,1000,3326237000.0,22113306.498,1314161.819,Wind,156.96114745846674,1314161.819
1338,,,Hickory Run Energy Station,PA,40.994444,-80.43,2020,Gas_CC,1033,4267048000.0,27905721.799,1658395.573,Wind,164.72774088141375,1658395.573
1339,,,Birdsboro Power,PA,40.268522,-75.799669,2019,Gas_CC,525,3710328000.0,24210441.502,1438793.184,Wind,202.14081049106906,1438793.184
1340,,,Victoria City Power LLC,TX,28.7853,-97.0093,2020,Gas_SC,100,100374000.0,841447.719,50007.763,Wind,26.789349953587724,50007.763
1341,,,Victoria Port Power LLC,TX,28.695805,-96.945409,2019,Gas_SC,100,89423000.0,759650.819,45147.231,Wind,1.073440765256697,45147.231
